review_id,review_text,rating,date,platform,helpful_count,review_length,user_name,title
appstore_sample_0,Beautiful music and sound effects,3,2025-05-29,app_store,0,33,User_9581,Fantastic experience
appstore_sample_1,"Great storyline, characters are well designed",4,2025-05-29,app_store,0,45,User_4307,Amazing game!
appstore_sample_2,Optimization needed for older iPhone models,2,2025-05-29,app_store,0,43,User_3675,Good but needs work
appstore_sample_3,F2P friendly compared to other gacha games,2,2025-05-29,app_store,0,42,User_5254,Good but needs work
appstore_sample_4,Combat system feels so smooth on iOS,1,2025-05-29,app_store,0,36,User_7215,Could be better
appstore_sample_5,Customer support is very responsive,5,2025-05-29,app_store,0,35,User_4899,Disappointing
appstore_sample_6,Optimization needed for older iPhone models,2,2025-05-29,app_store,0,43,User_2563,Amazing game!
appstore_sample_7,"Gacha rates are fair, got lucky with pulls",4,2025-05-29,app_store,0,42,User_6653,Worth playing
appstore_sample_8,"Too many in-app purchases, very expensive",4,2025-05-29,app_store,0,41,User_1957,Worth playing
appstore_sample_9,"Much better than Genshin, finally a worthy competitor",3,2025-05-29,app_store,0,53,User_3340,Disappointing
appstore_sample_10,Optimization needed for older iPhone models,4,2025-05-29,app_store,0,43,User_6651,Fantastic experience
appstore_sample_11,F2P friendly compared to other gacha games,5,2025-05-29,app_store,0,42,User_3551,Fantastic experience
appstore_sample_12,Best mobile RPG I've played this year,4,2025-05-29,app_store,0,37,User_6366,Love it!
appstore_sample_13,Customer support is very responsive,5,2025-05-29,app_store,0,35,User_8436,Amazing game!
appstore_sample_14,Optimization needed for older iPhone models,4,2025-05-29,app_store,0,43,User_7482,Disappointing
appstore_sample_15,Combat system feels so smooth on iOS,2,2025-05-29,app_store,0,36,User_8947,Mixed feelings
appstore_sample_16,F2P friendly compared to other gacha games,1,2025-05-29,app_store,0,42,User_2212,Good but needs work
appstore_sample_17,Love this game! Graphics are stunning on iPhone,4,2025-05-29,app_store,0,47,User_7430,Disappointing
appstore_sample_18,"Battery drain is terrible, but gameplay is addictive",5,2025-05-29,app_store,0,52,User_7456,Good but needs work
appstore_sample_19,Customer support is very responsive,3,2025-05-29,app_store,0,35,User_9259,Disappointing
appstore_sample_20,"Great storyline, characters are well designed",4,2025-05-29,app_store,0,45,User_5119,Disappointing
appstore_sample_21,Game crashes frequently on my device,1,2025-05-29,app_store,0,36,User_1857,Love it!
appstore_sample_22,Best mobile RPG I've played this year,1,2025-05-29,app_store,0,37,User_9526,Disappointing
appstore_sample_23,Beautiful music and sound effects,4,2025-05-29,app_store,0,33,User_3910,Could be better
appstore_sample_24,Best mobile RPG I've played this year,1,2025-05-29,app_store,0,37,User_4277,Good but needs work
appstore_sample_25,"Gacha rates are fair, got lucky with pulls",4,2025-05-29,app_store,0,42,User_8445,Disappointing
appstore_sample_26,Combat system feels so smooth on iOS,4,2025-05-29,app_store,0,36,User_6451,Fantastic experience
appstore_sample_27,Game crashes frequently on my device,1,2025-05-29,app_store,0,36,User_2033,Disappointing
appstore_sample_28,Beautiful music and sound effects,5,2025-05-29,app_store,0,33,User_7631,Good but needs work
appstore_sample_29,Best mobile RPG I've played this year,5,2025-05-29,app_store,0,37,User_1903,Could be better
appstore_sample_30,F2P friendly compared to other gacha games,1,2025-05-29,app_store,0,42,User_6866,Great potential
appstore_sample_31,Loading times are too long,1,2025-05-29,app_store,0,26,User_5621,Could be better
appstore_sample_32,Optimization needed for older iPhone models,5,2025-05-29,app_store,0,43,User_2891,Worth playing
appstore_sample_33,F2P friendly compared to other gacha games,1,2025-05-29,app_store,0,42,User_9032,Fantastic experience
appstore_sample_34,Combat system feels so smooth on iOS,3,2025-05-29,app_store,0,36,User_4006,Disappointing
appstore_sample_35,F2P friendly compared to other gacha games,2,2025-05-29,app_store,0,42,User_4515,Great potential
appstore_sample_36,Loading times are too long,5,2025-05-29,app_store,0,26,User_8462,Mixed feelings
appstore_sample_37,Combat system feels so smooth on iOS,1,2025-05-29,app_store,0,36,User_5662,Love it!
appstore_sample_38,Love this game! Graphics are stunning on iPhone,2,2025-05-29,app_store,0,47,User_4513,Good but needs work
appstore_sample_39,Amazing world design and exploration,2,2025-05-29,app_store,0,36,User_3177,Love it!
appstore_sample_40,"Too many in-app purchases, very expensive",1,2025-05-29,app_store,0,41,User_5174,Fantastic experience
appstore_sample_41,Game crashes frequently on my device,4,2025-05-29,app_store,0,36,User_4763,Amazing game!
